,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Innings,Runs,Fifties,Highest Score,Day,Month
44,44,44.0,44.0,44.0,44.0,44.0,19.0,20,David Warner,Delhi,2,2,65,1,61,15,4
45,45,45.0,45.0,45.0,45.0,45.0,20.0,21,Tilak Varma,Mumbai,5,5,157,1,61,15,4
46,46,46.0,46.0,46.0,46.0,46.0,21.0,22,Shimron Hetmyer,Rajasthan,5,5,197,1,59,15,4
47,47,47.0,47.0,47.0,47.0,47.0,22.0,23,Kane Williamson,Hyderabad,5,5,124,1,57,15,4
48,48,48.0,48.0,48.0,48.0,48.0,23.0,24,Pat Cummins,Kolkata,3,3,63,1,56,15,4
49,49,49.0,49.0,49.0,49.0,49.0,24.0,25,Evin Lewis,Lucknow,4,4,71,1,55,15,4
50,50,50.0,50.0,50.0,50.0,0.0,,1,Jos Buttler,Rajasthan,5,5,272,2,100,16,4
51,51,51.0,51.0,51.0,51.0,1.0,,2,Shubman Gill,Gujarat,5,5,200,2,96,16,4
52,52,52.0,52.0,52.0,52.0,2.0,,3,Shivam Dube,Chennai,5,5,207,2,95,16,4
53,53,53.0,53.0,53.0,53.0,3.0,,4,Robin Uthappa,Chennai,5,5,194,2,88,16,4
54,54,54.0,54.0,54.0,54.0,4.0,,5,Hardik Pandya,Gujarat,5,5,228,2,87,16,4
55,55,55.0,55.0,55.0,55.0,5.0,,6,Ishan Kishan,Mumbai,6,6,191,2,81,16,4
56,56,56.0,56.0,56.0,56.0,6.0,,7,Quinton de Kock,Lucknow,6,6,212,2,80,16,4
57,57,57.0,57.0,57.0,57.0,7.0,,8,Aiden Markram,Hyderabad,5,4,149,2,68,16,4
58,58,58.0,58.0,58.0,58.0,8.0,,9,Suryakumar Yadav,Mumbai,4,4,200,2,68,16,4
59,59,59.0,59.0,59.0,59.0,9.0,,10,David Warner,Delhi,3,3,131,2,66,16,4
60,60,60.0,60.0,60.0,60.0,10.0,,11,Liam Livingstone,Punjab,5,5,164,2,64,16,4
61,61,61.0,61.0,61.0,61.0,11.0,,12,Prithvi Shaw,Delhi,5,5,176,2,61,16,4
62,62,62.0,62.0,62.0,62.0,12.0,,13,Deepak Hooda,Lucknow,6,6,170,2,55,16,4
63,63,63.0,63.0,63.0,63.0,13.0,,14,Lokesh Rahul,Lucknow,6,6,235,1,103,16,4
64,64,64.0,64.0,64.0,64.0,14.0,,15,Faf du Plessis,Bangalore,6,6,154,1,88,16,4
65,65,65.0,65.0,65.0,65.0,15.0,,16,Abhishek Sharma,Hyderabad,5,5,142,1,75,16,4
66,66,66.0,66.0,66.0,66.0,16.0,,17,Rahul Tripathi,Hyderabad,5,5,171,1,71,16,4
67,67,67.0,67.0,67.0,67.0,17.0,,18,Andre Russell,Kolkata,6,5,179,1,70,16,4
68,68,68.0,68.0,68.0,68.0,18.0,,19,Shikhar Dhawan,Punjab,5,5,197,1,70,16,4
69,69,69.0,69.0,69.0,69.0,19.0,,20,Anuj Rawat,Bangalore,6,6,125,1,66,16,4
70,70,70.0,70.0,70.0,70.0,20.0,,21,Dinesh Karthik,Bangalore,6,6,197,1,66,16,4
71,71,71.0,71.0,71.0,71.0,21.0,,22,Tilak Varma,Mumbai,6,6,183,1,61,16,4
72,72,72.0,72.0,72.0,72.0,22.0,,23,Shimron Hetmyer,Rajasthan,5,5,197,1,59,16,4
73,73,73.0,73.0,73.0,73.0,23.0,,24,Kane Williamson,Hyderabad,5,5,124,1,57,16,4
74,74,74.0,74.0,74.0,74.0,24.0,,25,Pat Cummins,Kolkata,3,3,63,1,56,16,4
75,75,75.0,75.0,75.0,0.0,,,1,Liam Livingstone,Punjab,6,6,224,3,64,17,4
76,76,76.0,76.0,76.0,1.0,,,2,Jos Buttler,Rajasthan,5,5,272,2,100,17,4
77,77,77.0,77.0,77.0,2.0,,,3,Shubman Gill,Gujarat,6,6,200,2,96,17,4
78,78,78.0,78.0,78.0,3.0,,,4,Shivam Dube,Chennai,6,6,226,2,95,17,4
79,79,79.0,79.0,79.0,4.0,,,5,Robin Uthappa,Chennai,6,6,197,2,88,17,4
80,80,80.0,80.0,80.0,5.0,,,6,Hardik Pandya,Gujarat,5,5,228,2,87,17,4
81,81,81.0,81.0,81.0,6.0,,,7,Ishan Kishan,Mumbai,6,6,191,2,81,17,4
82,82,82.0,82.0,82.0,7.0,,,8,Quinton de Kock,Lucknow,6,6,212,2,80,17,4
83,83,83.0,83.0,83.0,8.0,,,9,Aiden Markram,Hyderabad,6,5,190,2,68,17,4
84,84,84.0,84.0,84.0,9.0,,,10,Suryakumar Yadav,Mumbai,4,4,200,2,68,17,4
85,85,85.0,85.0,85.0,10.0,,,11,David Warner,Delhi,3,3,131,2,66,17,4
86,86,86.0,86.0,86.0,11.0,,,12,Prithvi Shaw,Delhi,5,5,176,2,61,17,4
87,87,87.0,87.0,87.0,12.0,,,13,Deepak Hooda,Lucknow,6,6,170,2,55,17,4
88,88,88.0,88.0,88.0,13.0,,,14,Lokesh Rahul,Lucknow,6,6,235,1,103,17,4
89,89,89.0,89.0,89.0,14.0,,,15,David Miller,Gujarat,6,6,193,1,94,17,4
90,90,90.0,90.0,90.0,15.0,,,16,Faf du Plessis,Bangalore,6,6,154,1,88,17,4
91,91,91.0,91.0,91.0,16.0,,,17,Abhishek Sharma,Hyderabad,6,6,173,1,75,17,4
92,92,92.0,92.0,92.0,17.0,,,18,Ruturaj Gaikwad,Chennai,6,6,108,1,73,17,4
93,93,93.0,93.0,93.0,18.0,,,19,Rahul Tripathi,Hyderabad,6,6,205,1,71,17,4
94,94,94.0,94.0,94.0,19.0,,,20,Andre Russell,Kolkata,6,5,179,1,70,17,4
95,95,95.0,95.0,95.0,20.0,,,21,Shikhar Dhawan,Punjab,6,6,205,1,70,17,4
96,96,96.0,96.0,96.0,21.0,,,22,Anuj Rawat,Bangalore,6,6,125,1,66,17,4
97,97,97.0,97.0,97.0,22.0,,,23,Dinesh Karthik,Bangalore,6,6,197,1,66,17,4
98,98,98.0,98.0,98.0,23.0,,,24,Tilak Varma,Mumbai,6,6,183,1,61,17,4
99,99,99.0,99.0,99.0,24.0,,,25,Shimron Hetmyer,Rajasthan,5,5,197,1,59,17,4
100,100,100.0,100.0,0.0,,,,1,Liam Livingstone,Punjab,6,6,224,3,64,18,4
101,101,101.0,101.0,1.0,,,,2,Jos Buttler,Rajasthan,6,6,375,2,103,18,4
102,102,102.0,102.0,2.0,,,,3,Shubman Gill,Gujarat,6,6,200,2,96,18,4
103,103,103.0,103.0,3.0,,,,4,Shivam Dube,Chennai,6,6,226,2,95,18,4
104,104,104.0,104.0,4.0,,,,5,Robin Uthappa,Chennai,6,6,197,2,88,18,4
