,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Innings,Average,Day,Month
165,165,15.0,,,,,,16,Wanindu Hasaranga,Bangalore,7,7,19.55,20,4
166,166,16.0,,,,,,17,Yash Dayal,Gujarat,2,2,20.0,20,4
167,167,17.0,,,,,,18,Avesh Khan,Lucknow,7,7,20.09,20,4
168,168,18.0,,,,,,19,Obed McCoy,Rajasthan,1,1,20.5,20,4
169,169,19.0,,,,,,20,Umesh Yadav,Kolkata,7,7,20.7,20,4
170,170,20.0,,,,,,21,Jason Holder,Lucknow,5,5,21.62,20,4
171,171,21.0,,,,,,22,Harshal Patel,Bangalore,6,6,21.88,20,4
172,172,22.0,,,,,,23,Umran Malik,Hyderabad,6,6,22.33,20,4
173,173,23.0,,,,,,24,Mohammed Shami,Gujarat,6,6,22.75,20,4
174,174,24.0,,,,,,25,Bhuvneshwar Kumar,Hyderabad,6,6,23.25,20,4
175,0,,,,,,,1,Dewald Brevis,Mumbai,5,1,8.0,21,4
176,1,,,,,,,2,Yuzvendra Chahal,Rajasthan,6,6,10.35,21,4
177,2,,,,,,,3,Josh Hazlewood,Bangalore,3,3,10.75,21,4
178,3,,,,,,,4,Tim Southee,Kolkata,2,2,11.2,21,4
179,4,,,,,,,5,Lalit Yadav,Delhi,6,4,13.75,21,4
180,5,,,,,,,6,Khaleel Ahmed,Delhi,5,5,14.3,21,4
181,6,,,,,,,7,Kuldeep Yadav,Delhi,6,6,14.31,21,4
182,7,,,,,,,8,Aiden Markram,Hyderabad,6,2,17.0,21,4
183,8,,,,,,,9,Alzarri Joseph,Gujarat,1,1,17.0,21,4
184,9,,,,,,,10,T Natarajan,Hyderabad,6,6,17.33,21,4
185,10,,,,,,,11,Maheesh Theekshana,Chennai,4,4,17.57,21,4
186,11,,,,,,,12,Krishnappa Gowtham,Lucknow,2,2,17.67,21,4
187,12,,,,,,,13,Dwayne Bravo,Chennai,7,7,18.08,21,4
